game_id,ugly_name,pretty_name
192836,colonists,The Colonists
155703,evolution,Evolution
97842,last-will,Last Will
140603,francis-drake,Francis Drake
191862,imhotep,Imhotep
18,roborally,RoboRally
229220,santa-maria,Santa Maria
21790,thurn-and-taxis,Thurn and Taxis
22827,starcraft-board-game,StarCraft: The Board Game
15363,nexus-ops,Nexus Ops
39938,carson-city,Carson City
1513,republic-rome,The Republic of Rome
116998,thunderstone-advance-towers-ruin,Thunderstone Advance: Towers of Ruin
27746,colosseum,Colosseum
20437,lords-vegas,Lords of Vegas
133473,sushi-go,Sushi Go!
113924,zombicide,Zombicide
372,schotten-totten,Schotten Totten
9625,struggle-empires,Struggle of Empires
47,chinatown,Chinatown
119432,snowdonia,Snowdonia
2346,dvonn,DVONN
194607,mystic-vale,Mystic Vale
42776,gears-war-board-game,Gears of War: The Board Game
31730,chicago-express,Chicago Express
159508,aquasphere,AquaSphere
3307,wallenstein-first-edition,Wallenstein (first edition)
11,bohnanza,Bohnanza
143519,quantum,Quantum
151022,baseball-highlights-2045,Baseball Highlights: 2045
170771,sword-sorcery,Sword & Sorcery
167355,nemesis,Nemesis
128780,pax-porfiriana,Pax Porfiriana
150997,shadows-brimstone-swamps-death,Shadows of Brimstone: Swamps of Death
50750,belfort,Belfort
174785,mare-nostrum-empires,Mare Nostrum: Empires
165722,klask,KLASK
183251,karuba,Karuba
187617,nemos-war-second-edition,Nemo's War (second edition)
181521,warhammer-quest-adventure-card-game,Warhammer Quest: The Adventure Card Game
163166,one-night-ultimate-werewolf-daybreak,One Night Ultimate Werewolf Daybreak
153938,camel,Camel Up
58281,summoner-wars,Summoner Wars
180974,potion-explosion,Potion Explosion
121408,trains,Trains
92415,skull,Skull
232043,queendomino,Queendomino
12942,no-thanks,No Thanks!
134726,smash-awesome-level-9000,Smash Up: Awesome Level 9000
181530,runebound-third-edition,Runebound (Third Edition)
30869,thebes,Thebes
135219,battle-five-armies,The Battle of Five Armies
121288,dixit-journey,Dixit: Journey
193042,junk-art,Junk Art
65532,defenders-realm,Defenders of the Realm
